"",GAME PROGRAMMING & DESIGN (18 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",CORE COURSES (9 HRS),,,,
"",CSCI 2510,Intro to Game Prgrmng,,,
"",CSCI 3510,Adv Game Programming,,,
"",CSCI 4620,Computer Graphics,,,
"",ELECTIVE COURSES* (9 HRS),,,,
"",CSCI 2310,Video Game Design,,,
"",CSCI 4250,Human-Comp Interaction,,,
"",CSCI 4260,UI Design & Development,,,
"",CSCI 4450,Intro to Artificial Intelligence,,,
"",CSCI 4660,"Automata, Computability& Formal Languages",,,
"",CSCI 4850,Database Mgmt Systems,,,
"",ART 3140,Comp Generated Imagery,,,
"",ART 3160,Game Design as Art,,,
"",,,,,
"",,,,,
"",Note: Limit of 1 Non-CSCI Elective Course,,,,
"",Remaining:18Compl:0,,,,
INFORMATION ASSURANCE (18 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CORE COURSES (9 HRS),,,,
IASC 3600,"Info Security, Policy & Aware",,,
IASC 4360,Found of Info Assurance,,,
IASC/CSCI 4380,Comp & Network Forensics,,,
ELECTIVE COURSES* (9 HRS),,,,
IASC/CIST 4540,Computer Security Mgmt,,,
CSCI 4560,Nmbr Theory&Cryptography,,,
IASC 3570,OR  Cryptography,,,
"IASC 3350IASC 4450","Security Admin-Linux   ORHost-Based Vulnerability",,,
"",,,,
IASC 4460,Network-Based Vulnerability,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
Remaining:18Compl:0,,,,
INTERNET TECHNOLOGIES (18 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CORE COURSES (9 HRS),,,,
CSCI 2850,Prgrmming on the Internet,,,
CSCI 3830,Adv JAVA Programming,,,
CSCI 3850,Funds of Web Search Tech,,,
ELECTIVE COURSES* (9 HRS),,,,
CSCI 3450,Natural Language Proc,,,
CSCI 4100,Intro to Algorithms,,,
CSCI 4150,Graph Theory & Apps,,,
CSCI 4250,Human Computer Interactions,,,
IASC 4460,Network Vuln. Discovery,,,
CSCI 4900,Internet Systems Devlp.,,,
CSCI 4470,Pattern Rcognitions,,,
CSCI 4850,Database Management,,,
CSCI 4890,Data Warehousing  & Data Mining,,,
"",,,,
"",,,,
Remaining:18Compl:0,,,,
