"",ENGLISH COMPOSITION (9 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",ENGL 1150,Composition I,,,
"",ENGL 1160,Composition II,,,
"",CIST 3000,Adv Comp for IS&T,,,
"",Remaining:9Compl:0,,,,
"",MATHEMATICS (3 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",MATH 1310 or test out,,,,
"",Remaining:3Compl:0,,,,
"",PUBLIC SPEAKING (3 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",CMST 1110,Public Speaking,,,
"",CMST 2120,-OR- Debate,,,
"",Remaining:3Compl:0,,,,
"",HUMANITIES (9 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",CIST 3110,IT Ethics,-,-,
"",,,,,
"",,,,,
"",Remaining:6Compl:0,,,,
"",SOCIAL SCIENCE (9 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",CIST 2100,"Orgs, Apps & Tech",*,*,
"",,,,,
"",,,,,
"",Remaining:6Compl:0,,,,
"",NATURAL/PHYSICAL SCIENCE (7 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",,,,,
"",,,,,
"",,Lab,,,
"",Include 2 different areas; 1 with a lab,,,,
"",Remaining:7Compl:0,,,,
"",GLOBAL DIVERSITY COURSE (3 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",Remaining:3Compl:0,,,,
"",,,,,
"",US DIVERSITY COURSE (3 CREDIT HRS),,,,
"",Course #Course NameGradeCr,,,,
"",Remaining:3Compl:0,,,,
"",,,,,
IS&T CORE COURSES (18 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CIST 1400,Intro to Comp Prgm,,,
CIST 1404*,Intro to Comp Prgm Lab,,,
CSCI 1620,Intro to Comp Science II,,,
CSCI 2240,Intro to C Programming,,,
CIST 2100,"Orgs, Apps & Technology",,,
CIST 2500,Intro to Applied Statistics,,,
CIST 3110,IT Ethics,,,
"* Optional",,,,
Remaining:18Compl:0,,,,
MATHEMATICS COURSES (16 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
MATH 1950,Calculus I,,,
MATH 1960,Calculus II,,,
CSCI 2030,Math Foundations of CS,,,
MATH 2050,Applied Linear Algebra,,,
Remaining:16Compl:0,,,,
COMPUTER SCIENCE CORE COURSES (27 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CSCI 3320,Data Structures,,,
CSCI 3710,Intro to Digital Design,,,
CSCI 3550,Communication Networks,,,
CSCI 3660,Theory of Computation,,Fall/Spring onl,
CSCI 4220,Programming Languages,,,
CSCI 4350,Computer Architecture,,,
CSCI 4500,Operating Systems,,,
CSCI 4830,Intro to SW Engineering,,,
CSCI 4970,Capstone Project,,Fall/Spring onl,
CSCI 4000,Assessment (MFT),,0,
Remaining:27Compl:0,,,,
ELECTIVE COURSES (7 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CSCI 1200*,Comp Science Principles,,,* If not
CIST 1300*,Or Intro to Web Dev,,,waived
CIST 1940*,Or Intro to Functional Pgm,,,Fall only
"",,,,
Remaining:7Compl:0,,,,
"TOTAL CREDITS (Including in-progress classes):0",,,,
Last update: March 2016GPA:,,,,
CORE EXTENSION COURSES (21 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
Remaining:21Compl:0,,,,
